"cgPlaId","Year","headCt","startDateEarly","endDateEarly","startDateLate","endDateLate","note"
9050,2010,"1",2010-6-29 0:00:00,2010-7-10 0:00:00,2010-6-29 0:00:00,2010-7-10 0:00:00,"New twist tie-blu"
6333,2010,"1",2010-7-3 0:00:00,2010-7-15 0:00:00,2010-7-3 0:00:00,2010-7-15 0:00:00,
6477,2010,"1",2010-7-10 0:00:00,2010-7-27 0:00:00,2010-7-10 0:00:00,2010-7-27 0:00:00,
6780,2010,"1",2010-7-9 0:00:00,2010-7-22 0:00:00,2010-7-9 0:00:00,2010-7-22 0:00:00,
1481,2010,"1",2010-7-4 0:00:00,2010-7-18 0:00:00,2010-7-4 0:00:00,2010-7-18 0:00:00,"New 	found"
7164,2010,"1",2010-7-6 0:00:00,2010-7-21 0:00:00,2010-7-6 0:00:00,2010-7-21 0:00:00,"New"
4945,2010,"1",2010-7-12 0:00:00,2010-7-24 0:00:00,2010-7-12 0:00:00,2010-7-24 0:00:00,
7159,2010,"1",2010-7-12 0:00:00,2010-7-28 0:00:00,2010-7-12 0:00:00,2010-7-28 0:00:00,"changed from nott to blu 3jul2010 gkk"
4370,2010,"1",2010-7-7 0:00:00,2010-7-21 0:00:00,2010-7-7 0:00:00,2010-7-21 0:00:00,"New"
6361,2010,"1",2010-7-10 0:00:00,2010-7-25 0:00:00,2010-7-10 0:00:00,2010-7-25 0:00:00,"New tt added"
5208,2010,"1",2010-7-5 0:00:00,2010-7-22 0:00:00,2010-7-5 0:00:00,2010-7-22 0:00:00,"Twist tied 7/1/10 9:11 am;first day estimated based on 7jul data gkk"
7797,2010,"1",2010-7-8 0:00:00,2010-7-18 0:00:00,2010-7-8 0:00:00,2010-7-18 0:00:00,
4424,2010,"1",2010-7-18 0:00:00,2010-8-1 0:00:00,2010-7-18 0:00:00,2010-8-1 0:00:00,
5470,2010,"1",2010-7-15 0:00:00,2010-7-28 0:00:00,2010-7-15 0:00:00,2010-7-28 0:00:00,"New"
5943,2010,"1",2010-7-6 0:00:00,2010-7-16 0:00:00,2010-7-6 0:00:00,2010-7-16 0:00:00,"New tt"
1031,2010,"1",2010-7-12 0:00:00,2010-7-28 0:00:00,2010-7-12 0:00:00,2010-7-28 0:00:00,
