"expNm","cgplaid","maPedigree","paPedigree","siteOfOriginPedigree"
"1996",1,119,,"Lf"
"1996",2,407,,"Eriley"
"1996",3,403,,"Eriley"
"1996",4,403,,"Eriley"
"1996",5,141,,"Lf"
"1996",6,407,,"Eriley"
"1996",7,404,,"Eriley"
"1996",8,141,,"Lf"
"1996",9,402,,"Eriley"
"1996",10,409,,"Eriley"
"1996",11,412,,"Eriley"
"1996",12,176,,"SPP"
"1996",13,417,,"SPP"
"1996",14,110,,"Lf"
"1996",15,404,,"Eriley"
"1996",16,,,"Unknown"
"1996",17,119,,"Lf"
"1996",18,413,,"Eriley"
"1996",19,404,,"Eriley"
"1996",20,,,"Unknown"
"1996",21,402,,"Eriley"
"1996",22,404,,"Eriley"
"1996",23,141,,"Lf"
"1996",24,195,,"SPP"
"1996",25,119,,"Lf"
"1996",26,414,,"Eriley"
"1996",27,162,,"AA"
"1996",28,410,,"Eriley"
"1996",29,129,,"Lf"
"1996",30,186,,"SPP"
"1996",31,176,,"SPP"
"1996",32,110,,"Lf"
"1996",33,417,,"SPP"
"1996",34,110,,"Lf"
"1996",35,407,,"Eriley"
"1996",36,141,,"Lf"
"1996",37,140,,"Lf"
"1996",38,411,,"Eriley"
"1996",39,400,,"Eriley"
"1996",40,185,,"SPP"
"1996",41,127,,"Lf"
"1996",42,198,,"SPP"
"1996",43,162,,"AA"
"1996",44,141,,"Lf"
"1996",45,290,,"Nessman"
"1996",46,414,,"Eriley"
"1996",47,110,,"Lf"
"1996",48,415,,"Eriley"
"1996",49,419,,"SPP"
"1996",50,189,,"SPP"
"1996",51,200,,"SPP"
"1996",52,,,"Unknown"
"1996",53,92,,"AA"
"1996",54,406,,"Eriley"
"1996",55,406,,"Eriley"
"1996",56,405,,"Eriley"
"1996",57,290,,"Nessman"
"1996",58,415,,"Eriley"
"1996",59,195,,"SPP"
"1996",60,195,,"SPP"
"1996",61,410,,"Eriley"
"1996",62,406,,"Eriley"
"1996",63,110,,"Lf"
"1996",64,140,,"Lf"
"1996",65,290,,"Nessman"
"1996",66,290,,"Nessman"
"1996",67,195,,"SPP"
"1996",68,110,,"Lf"
"1996",69,98,,"AA"
"1996",70,326,,"Tower"
"1996",71,412,,"Eriley"
"1996",72,189,,"SPP"
"1996",73,99,,"AA"
"1996",74,290,,"Nessman"
"1996",75,402,,"Eriley"
"1996",76,115,,"Lf"
"1996",77,402,,"Eriley"
"1996",78,400,,"Eriley"
"1996",79,198,,"SPP"
"1996",80,289,,"Nessman"
"1996",81,158,,"AA"
"1996",82,326,,"Tower"
"1996",83,141,,"Lf"
"1996",84,404,,"Eriley"
"1996",85,404,,"Eriley"
"1996",86,198,,"SPP"
"1996",87,289,,"Nessman"
"1996",88,404,,"Eriley"
"1996",89,290,,"Nessman"
"1996",90,117,,"Lf"
"1996",91,406,,"Eriley"
"1996",92,110,,"Lf"
"1996",93,92,,"AA"
"1996",94,406,,"Eriley"
"1996",95,99,,"AA"
"1996",96,416,,"SPP"
"1996",97,411,,"Eriley"
"1996",98,115,,"Lf"
