cgPlaId,cgHdId,startDtEarly,startDtLate,endDtEarly,endDtLate,phenYear,phenNote
1,2013000646,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,
4,2013000644,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
4,2013000645,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
12,2013000643,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
25,2013000955,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
28,2013000954,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
30,2013000949,"2013-07-14 00:00:00","2013-07-14 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
30,2013000950,"2013-07-13 00:00:00","2013-07-13 00:00:00","2013-07-27 00:00:00","2013-07-27 00:00:00",2013,
30,2013000951,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-10 00:00:00","2013-08-10 00:00:00",2013,
30,2013000952,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-28 00:00:00","2013-07-28 00:00:00",2013,
30,2013000953,"2013-07-09 00:00:00","2013-07-09 00:00:00","2013-07-24 00:00:00","2013-07-24 00:00:00",2013,
31,2013000947,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
31,2013000948,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-25 00:00:00","2013-07-25 00:00:00",2013,
33,2013000946,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-28 00:00:00","2013-07-28 00:00:00",2013,
34,2013000945,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
38,2013000944,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
51,2013000997,"2013-07-31 00:00:00","2013-07-31 00:00:00","2013-08-14 00:00:00","2013-08-14 00:00:00",2013,
51,2013000998,"2013-07-31 00:00:00","2013-07-31 00:00:00","2013-08-17 00:00:00","2013-08-17 00:00:00",2013,
51,2013000999,"2013-08-03 00:00:00","2013-08-03 00:00:00","2013-08-19 00:00:00","2013-08-19 00:00:00",2013,
52,2013000995,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
52,2013000996,"2013-07-27 00:00:00","2013-07-27 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
59,2013000992,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
59,2013000993,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
59,2013000994,"2013-07-31 00:00:00","2013-07-31 00:00:00","2013-08-15 00:00:00","2013-08-15 00:00:00",2013,
63,2013000991,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
75,2013000988,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
75,2013000989,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
75,2013000990,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
77,2013001203,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
81,2013001202,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
88,2013001201,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
103,2013001420,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
104,2013001419,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
118,2013001418,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-30 00:00:00","2013-07-30 00:00:00",2013,
133,2013001457,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
133,2013001458,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
136,2013001455,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-10 00:00:00","2013-08-10 00:00:00",2013,
136,2013001456,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
137,2013001452,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
137,2013001453,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
137,2013001454,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
140,2013001451,"2013-07-25 00:00:00","2013-07-25 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
141,2013001449,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
141,2013001450,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
145,2013001448,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
151,2013001594,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
151,2013001595,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
151,2013001596,"2013-07-27 00:00:00","2013-07-27 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,Looks like today is the third day
152,2013001592,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
152,2013001593,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
154,2013001591,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
157,2013001589,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
157,2013001590,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
159,2013001587,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
159,2013001588,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
160,2013001586,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
162,2013001584,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
162,2013001585,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
163,2013001580,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
163,2013001581,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
163,2013001582,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-02 00:00:00","2013-08-02 00:00:00",2013,
163,2013001583,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
167,2013001577,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-13 00:00:00","2013-08-13 00:00:00",2013,
167,2013001578,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-14 00:00:00","2013-08-14 00:00:00",2013,
167,2013001579,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
174,2013000491,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
174,2013000492,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-30 00:00:00","2013-07-30 00:00:00",2013,
183,2013000489,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
183,2013000490,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
190,2013000488,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
203,2013000549,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
203,2013000550,"2013-07-29 00:00:00","2013-07-29 00:00:00","2013-08-15 00:00:00","2013-08-15 00:00:00",2013,
204,2013000548,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
205,2013000546,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,
205,2013000547,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
222,2013000605,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
223,2013000604,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-13 00:00:00","2013-08-13 00:00:00",2013,
224,2013000601,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-30 00:00:00","2013-07-30 00:00:00",2013,
224,2013000602,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
224,2013000603,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-29 00:00:00","2013-07-29 00:00:00",2013,
225,2013000599,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,
225,2013000600,"2013-07-13 00:00:00","2013-07-13 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
226,2013000596,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
226,2013000597,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
226,2013000598,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
229,2013000595,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-13 00:00:00","2013-08-13 00:00:00",2013,
232,2013000594,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
238,2013000589,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
238,2013000590,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-26 00:00:00","2013-07-26 00:00:00",2013,
238,2013000591,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
238,2013000592,"2013-07-15 00:00:00","2013-07-15 00:00:00","2013-07-25 00:00:00","2013-07-25 00:00:00",2013,
