"year","cgHeadId","cgPlaId","startDateEarly","startDateLate","endDateEarly","endDateLate","note"
2005,2005000213,2946,"2005-08-04","2005-08-04","2005-08-20","2005-08-20",
2005,2005000215,2957,"2005-07-14","2005-07-14","2005-07-28","2005-07-28",
2005,2005000214,2956,"2005-07-07","2005-07-07","2005-07-17","2005-07-17",
2005,2005000216,2959,"2005-07-09","2005-07-09","2005-07-22","2005-07-22",
2005,2005000217,2959,"2005-07-02","2005-07-02","2005-07-14","2005-07-14",
2005,2005000218,2995,"2005-07-02","2005-07-02","2005-07-13","2005-07-13",
2005,2005000219,3002,"2005-07-09","2005-07-09","2005-07-21","2005-07-21",
2005,2005000220,3014,"2005-07-05","2005-07-05","2005-07-16","2005-07-16",
2005,2005000225,3086,"2005-07-16","2005-07-16","2005-07-27","2005-07-27",
2005,2005000223,3089,"2005-07-24","2005-07-24","2005-08-09","2005-08-09",
2005,2005000224,3089,"2005-07-10","2005-07-10","2005-07-24","2005-07-24",
2005,2005000222,3138,"2005-07-10","2005-07-10","2005-07-19","2005-07-19",
2005,2005000221,3140,"2005-07-09","2005-07-09","2005-07-18","2005-07-18",
2005,2005000226,3219,"2005-07-06","2005-07-06","2005-07-20","2005-07-20",
2005,2005000227,3222,"2005-07-04","2005-07-04","2005-07-16","2005-07-16",
2005,2005000233,3261,"2005-07-06","2005-07-06","2005-07-17","2005-07-17",
2005,2005000228,3351,"1911-01-01","1911-01-01","2005-07-23","2005-07-23",
2005,2005000231,3372,"2005-07-12","2005-07-12","2005-07-23","2005-07-23",
2005,2005000234,174,"2005-07-02","2005-07-02","2005-07-13","2005-07-13",
2005,2005000235,1169,"2005-07-05","2005-07-05","2005-07-18","2005-07-18",
2005,2005000246,1265,"2005-07-03","2005-07-03","2005-07-16","2005-07-16",
2005,2005000050,209,"2005-07-12","2005-07-12","2005-07-21","2005-07-21",
2005,2005000048,209,"2005-07-11","2005-07-11","2005-07-21","2005-07-21",
2005,2005000049,209,"2005-07-11","2005-07-11","2005-07-20","2005-07-20",
2005,2005000053,202,"2005-07-07","2005-07-07","2005-07-18","2005-07-18",
