row,pos,ttColor,cgHdId,startDtEarly,startDtLate,endDtEarly,endDtLate,phenYear,cgPlaId,phenNote
21,920,grn,2005000001,2005-07-03,2005-07-03,2005-07-15,2005-07-15,2005,1342,
20,922,grn1,2005000002,2005-07-01,2005-07-01,2005-07-12,2005-07-12,2005,1329,
20,922,grn2,2005000003,2005-07-11,2005-07-11,2005-07-22,2005-07-22,2005,1329,
20,965,grn,2005000004,2005-07-01,2005-07-01,2005-07-13,2005-07-13,2005,792,
24,959,grn,2005000005,2005-07-08,2005-07-08,2005-07-19,2005-07-19,2005,49,
25,957,grn1,2005000006,2005-07-06,2005-07-06,2005-07-17,2005-07-17,2005,374,
25,957,grn2,2005000007,2005-07-11,2005-07-11,2005-07-23,2005-07-23,2005,374,
29,945,wht1,2005000008,2005-06-28,2005-06-28,2005-07-11,2005-07-11,2005,461,
38,944,grn,2005000009,2005-06-29,2005-06-29,2005-07-11,2005-07-11,2005,165,
48.67,956,grn,2005000010,2005-07-04,2005-07-04,2005-07-18,2005-07-18,2005,2415,
48.67,956,blu,2005000011,2005-07-12,2005-07-12,2005-07-24,2005-07-24,2005,2415,
1.33,906,grn,2005000013,2005-07-10,2005-07-10,2005-07-19,2005-07-19,2005,2594,
48,968.5,sol,2005000014,1911-01-01,1911-01-01,2005-07-25,2005-07-25,2005,4161,
30,946,grn1,2005000016,2005-06-27,2005-06-27,2005-07-12,2005-07-12,2005,485,
30,946,grn2,2005000017,2005-07-11,2005-07-11,2005-07-22,2005-07-22,2005,485,
30,948,grn,2005000019,2005-07-08,2005-07-08,2005-07-19,2005-07-19,2005,483,
30,951,grn,2005000020,2005-07-04,2005-07-04,2005-07-20,2005-07-20,2005,480,
30,954,grn,2005000022,2005-07-07,2005-07-07,2005-07-19,2005-07-19,2005,477,
30,954,blu,2005000023,2005-07-05,2005-07-05,2005-07-18,2005-07-18,2005,477,
24,966,grn,2005000024,2005-07-07,2005-07-07,2005-07-19,2005-07-19,2005,977,
24,972,grn,2005000025,2005-07-06,2005-07-06,2005-07-15,2005-07-15,2005,1150,
30,959,grn,2005000026,2005-07-05,2005-07-05,2005-07-15,2005-07-15,2005,472,
24,972,blk,2005000028,2005-07-11,2005-07-11,2005-07-23,2005-07-23,2005,1150,
24,972,blu,2005000029,2005-07-10,2005-07-10,2005-07-21,2005-07-21,2005,1150,
30,971,grn,2005000030,2005-07-06,2005-07-06,2005-07-19,2005-07-19,2005,780,
6.67,900.33,blu,2005000031,2005-07-18,2005-07-18,2005-08-02,2005-08-02,2005,2881,
30,974,grn,2005000032,2005-07-05,2005-07-05,2005-07-18,2005-07-18,2005,713,
27,948,grn,2005000033,2005-07-07,2005-07-07,2005-07-19,2005-07-19,2005,433,
27,948,blu1,2005000035,2005-07-08,2005-07-08,2005-07-19,2005-07-19,2005,433,
27,948,clr,2005000038,2005-07-11,2005-07-11,2005-07-26,2005-07-26,2005,433,
27,949,grn,2005000040,2005-07-03,2005-07-03,2005-07-13,2005-07-13,2005,432,
6.67,901,blu,2005000041,2005-07-19,2005-07-19,2005-08-06,2005-08-06,2005,2883,
6.67,902,blu,2005000042,2005-07-10,2005-07-10,2005-07-22,2005-07-22,2005,2886,
27,955,grn,2005000043,2005-07-11,2005-07-11,2005-07-20,2005-07-20,2005,426,
6.67,907,blu,2005000046,2005-07-06,2005-07-06,2005-07-19,2005-07-19,2005,2901,
15,947,grn,2005000048,2005-07-11,2005-07-11,2005-07-21,2005-07-21,2005,209,
15,947,wht,2005000049,2005-07-11,2005-07-11,2005-07-20,2005-07-20,2005,209,
15,947,blu,2005000050,2005-07-12,2005-07-12,2005-07-21,2005-07-21,2005,209,
6.67,908,blu,2005000052,2005-07-14,2005-07-14,2005-08-02,2005-08-02,2005,2904,
15,954,grn,2005000053,2005-07-07,2005-07-07,2005-07-18,2005-07-18,2005,202,
6.67,908.67,blu,2005000054,2005-07-16,2005-07-16,2005-08-03,2005-08-03,2005,2906,
5.33,908.67,blu,2005000057,2005-07-11,2005-07-11,2005-07-22,2005-07-22,2005,2830,
