STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/1/2005,0,9,21,-4
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/2/2005,0,15,23,6
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/3/2005,0,19,34,4
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/4/2005,0,30,36,23
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/5/2005,0,34,45,23
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/6/2005,0,44,57,30
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/7/2005,0,21,30,11
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/8/2005,0,13,20,5
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/9/2005,0,20,31,9
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/10/2005,0.02,31,37,24
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/11/2005,0.01,17,31,3
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/12/2005,0,10,18,2
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/13/2005,0,15,21,9
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/14/2005,0,16,21,11
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/15/2005,0.13,23,34,11
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/16/2005,0,14,23,4
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/17/2005,0,21,32,10
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/18/2005,0,25,30,19
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/19/2005,0,24,35,13
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/20/2005,0,28,37,18
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/21/2005,0,32,38,25
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/22/2005,0,34,41,26
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/23/2005,0,36,45,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/24/2005,0,35,43,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/25/2005,0,30,39,20
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/26/2005,0,35,48,21
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/27/2005,0,43,58,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/28/2005,0,47,63,31
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/29/2005,0,52,62,41
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/30/2005,0.57,42,47,37
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",3/31/2005,0,42,52,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/1/2005,0,39,48,29
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/2/2005,0,39,50,27
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/3/2005,0,47,62,31
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/4/2005,0,58,71,44
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/5/2005,0.13,55,67,42
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/6/2005,0,51,62,40
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/7/2005,0,48,63,32
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/8/2005,0,56,69,42
USW00014910,"ALEXANDRIA CHANDLER FIELD, MN US",4/9/2005,0.12,62,74,49
