"startDtEarly","startDtLate","endDtEarly","endDtLate","cgPlaId","cgHdId","phenNote","phenYr"
2014-7-24 0:00:00,2014-7-24 0:00:00,2014-8-11 0:00:00,2014-8-11 0:00:00,2502,2014000342,,2014
2014-7-13 0:00:00,2014-7-13 0:00:00,2014-7-24 0:00:00,2014-7-24 0:00:00,2512,2014000343,,2014
2014-7-12 0:00:00,2014-7-12 0:00:00,2014-7-27 0:00:00,2014-7-27 0:00:00,2611,2014000345,,2014
2014-7-13 0:00:00,2014-7-13 0:00:00,2014-7-28 0:00:00,2014-7-28 0:00:00,2611,2014000344,,2014
2014-7-11 0:00:00,2014-7-11 0:00:00,2014-7-28 0:00:00,2014-7-28 0:00:00,2611,2014000346,,2014
2014-7-12 0:00:00,2014-7-12 0:00:00,2014-7-24 0:00:00,2014-7-24 0:00:00,2614,2014000347,,2014
2014-7-13 0:00:00,2014-7-13 0:00:00,2014-7-27 0:00:00,2014-7-27 0:00:00,2648,2014000348,,2014
2014-7-11 0:00:00,2014-7-11 0:00:00,2014-7-28 0:00:00,2014-7-28 0:00:00,2734,2014000349,,2014
2014-7-16 0:00:00,2014-7-16 0:00:00,2014-7-28 0:00:00,2014-7-28 0:00:00,2743,2014000350,,2014
2014-7-18 0:00:00,2014-7-18 0:00:00,2014-7-24 0:00:00,2014-7-24 0:00:00,2776,2014000352,"Hd deformed i dont think thee are more imm but chk 7/24/14 ;",2014
2014-7-30 0:00:00,2014-7-30 0:00:00,2014-8-12 0:00:00,2014-8-12 0:00:00,2776,2014000351,,2014
2014-7-25 0:00:00,2014-7-25 0:00:00,2014-8-5 0:00:00,2014-8-5 0:00:00,2781,2014000354,,2014
2014-7-16 0:00:00,2014-7-16 0:00:00,2014-7-26 0:00:00,2014-7-26 0:00:00,2781,2014000353,,2014
2014-7-11 0:00:00,2014-7-11 0:00:00,2014-7-27 0:00:00,2014-7-27 0:00:00,2782,2014000356,"1 imm 726",2014
2014-7-12 0:00:00,2014-7-12 0:00:00,2014-7-26 0:00:00,2014-7-26 0:00:00,2782,2014000355,,2014
2014-7-18 0:00:00,2014-7-18 0:00:00,2014-8-1 0:00:00,2014-8-1 0:00:00,2788,2014000357,,2014
2014-7-11 0:00:00,2014-7-11 0:00:00,2014-7-26 0:00:00,2014-7-26 0:00:00,2791,2014000358,,2014
2014-7-22 0:00:00,2014-7-22 0:00:00,2014-8-7 0:00:00,2014-8-7 0:00:00,2803,2014000359,,2014
2014-7-16 0:00:00,2014-7-16 0:00:00,2014-7-30 0:00:00,2014-7-30 0:00:00,2830,2014000360,,2014
2014-7-18 0:00:00,2014-7-18 0:00:00,2014-7-27 0:00:00,2014-7-27 0:00:00,2831,2014000361,,2014
